company_id,year,scope,category,emissions_tco2e,unit
CO-04,2019,3,Upstream transport,11548.3,tCO2e
CO-04,2021,1,Mobile combustion,2154.7,tCO2e
CO-05,2022,3,Business travel,103218.1,tCO2e
CO-08,2023,3,Business travel,102797.0,tCO2e
CO-04,2024,1,Mobile combustion,2066.3,tCO2e
CO-02,2020,3,Purchased goods & services,274568.1,tCO2e
CO-02,2020,3,Waste,361931.7,tCO2e
CO-04,2020,3,Purchased goods & services,12246.5,tCO2e
CO-05,2020,1,Process emissions,12340.6,tCO2e
CO-06,2024,1,Fugitive emissions,35707.3,tCO2e
CO-03,2023,3,Waste,127135.5,tCO2e
CO-03,2019,3,Purchased goods & services,163334.5,tCO2e
CO-07,2023,2,Purchased electricity,74824.3,tCO2e
CO-08,2020,1,Fugitive emissions,14385.6,tCO2e
CO-05,2020,1,Stationary combustion,5168.9,tCO2e
CO-02,2021,1,Mobile combustion,30802.0,tCO2e
CO-07,2022,1,Process emissions,18815.9,tCO2e
CO-06,2021,2,Purchased heat & steam,34937.8,tCO2e
CO-07,2020,2,Purchased electricity,90736.8,tCO2e
CO-04,2020,3,Upstream transport,12046.6,tCO2e
CO-01,2023,1,Process emissions,19930.2,tCO2e
CO-02,2019,1,Stationary combustion,32680.7,tCO2e
CO-06,2019,1,Stationary combustion,29265.3,tCO2e
CO-04,2020,2,Purchased heat & steam,7671.8,tCO2e
CO-03,2019,3,Waste,159111.4,tCO2e
CO-07,2023,3,Waste,158331.7,tCO2e
CO-08,2024,3,Upstream transport,84540.6,tCO2e
CO-01,2019,1,Stationary combustion,40637.6,tCO2e
CO-02,2022,3,Business travel,235597.6,tCO2e
CO-08,2020,1,Process emissions,9465.2,tCO2e
CO-07,2022,1,Fugitive emissions,11890.8,tCO2e
CO-08,2023,1,Process emissions,8520.8,tCO2e
CO-07,2024,1,Process emissions,18565.7,tCO2e
CO-05,2019,3,Waste,63247.0,tCO2e
CO-04,2024,1,Fugitive emissions,1769.6,tCO2e
CO-08,2021,3,Business travel,92390.6,tCO2e
CO-03,2022,3,Purchased goods & services,151762.0,tCO2e
CO-04,2022,2,Purchased heat & steam,7125.9,tCO2e
CO-03,2022,3,Upstream transport,127896.5,tCO2e
CO-05,2024,2,Purchased electricity,20881.5,tCO2e
CO-07,2021,1,Stationary combustion,15044.1,tCO2e
CO-03,2024,3,Waste,124518.2,tCO2e
CO-04,2022,1,Stationary combustion,1939.8,tCO2e
CO-05,2019,1,Fugitive emissions,7516.5,tCO2e
CO-07,2024,2,Purchased electricity,67696.1,tCO2e
CO-07,2019,3,Upstream transport,172740.2,tCO2e
CO-07,2019,1,Fugitive emissions,12391.5,tCO2e
CO-08,2024,1,Process emissions,8604.9,tCO2e
CO-08,2020,1,Stationary combustion,13646.2,tCO2e
CO-08,2022,3,business travel,98411.5,tCO2e
CO-08,2022,3,Waste,41322.4,tCO2e
CO-08,2019,1,Fugitive emissions,14068.4,tCO2e
CO-01,2020,1,Fugitive emissions,42589.7,tCO2e
CO-06,2022,1,Process emissions,20018.1,tCO2e
CO-02,2023,3,Waste,296039.0,tCO2e
CO-05,2023,3,Waste,49005.0,tCO2e
CO-04,2020,1,Mobile combustion,2342.0,tCO2e
CO-03,2024,2,Purchased electricity,33824.1,tCO2e
CO-06,2022,2,Purchased heat & steam,34316.5,tCO2e
CO-07,2019,1,Stationary combustion,16088.1,tCO2e
